MODZCTA,positive,total,zcta_cum.perc_pos,total_pop,percent_pos,median_inc,perc_white,perc_black,perc_native,perc_asian,perc_hawaiian,perc_other,perc_two
11220,1253,2552,49.1,95643,0.013100802,37030.1129,0.306150726,0.029870078,0.010492179,0.415530432,0.00027109,0.20150003,0.036185466
11221,1060,2365,44.82,83835,0.012643884,34005.1582,0.174611826,0.567513784,0.010456936,0.020647696,0.00087458,0.184004056,0.041891121
11222,378,978,38.65,36492,0.010358435,54366.9033,0.835409108,0.021849786,0.003005361,0.049087562,0.000514431,0.062435696,0.027698056
11223,1437,3241,44.34,81789,0.0175696,39420.9802,0.661238902,0.041749755,0.003658025,0.211238267,0.000304835,0.061449747,0.020360468
11224,937,2030,46.16,46707,0.020061233,34958.4279,0.593330673,0.247831839,0.005228786,0.059910544,0.000272989,0.067512232,0.025912938
11225,1007,2179,46.21,58882,0.017102001,39782.409,0.165408506,0.752538317,0.004188003,0.014957152,0.00042232,0.033152088,0.029333615
11226,1855,3783,49.04,100277,0.018498758,38763.3706,0.098649234,0.756635687,0.005414878,0.029673532,0.000393809,0.077176781,0.032056078
11228,567,1347,42.09,44994,0.01260168,55200.2725,0.681367857,0.006796209,0.001914425,0.244424237,0.000358955,0.047932421,0.017205896
11229,1324,3084,42.93,83615,0.015834479,49910.6032,0.712652153,0.054775176,0.001824589,0.182408958,0.000187458,0.030080732,0.018070934
11230,1937,4214,45.97,89075,0.02174572,47496.1618,0.713545042,0.083776965,0.00362235,0.12954819,0.000266179,0.049856495,0.019384779
11231,355,889,39.93,37845,0.009380367,73074.9877,0.688534917,0.150437965,0.005339573,0.042386609,0.000449964,0.073014159,0.039836813
11232,421,783,53.77,27602,0.015252518,34807.855,0.427772864,0.073164691,0.020555457,0.161613303,0.000990624,0.257208562,0.058694498
11233,1080,2326,46.43,76819,0.014059022,35422.5954,0.054121367,0.847657823,0.007009381,0.008575306,0.000253531,0.053599392,0.028783201
11234,2004,4256,47.09,95666,0.020947881,67952.9473,0.478309423,0.421892271,0.002871566,0.046822476,0.000227902,0.027792655,0.022083708
11235,1713,3666,46.73,78128,0.021925558,44729.671,0.78050599,0.021824294,0.003096093,0.128291968,0.000139008,0.047692463,0.018450185
11236,2306,4561,50.56,100331,0.022983923,59567.5509,0.074725439,0.850421296,0.003323498,0.02514993,0.000149131,0.025639933,0.020590773
11237,784,1515,51.75,49310,0.015899412,35354.7791,0.361552028,0.108686067,0.013949014,0.069284111,0.000801667,0.385561969,0.060165143
11238,647,1525,42.43,54540,0.011862853,61468.5107,0.379196947,0.478928992,0.003511835,0.054585685,0.000669888,0.037391905,0.04571475
11239,435,948,45.89,13244,0.032845062,24882.1176,0.313297991,0.570745912,0.004031957,0.029194355,0.000149332,0.054282088,0.028298365
11354,932,1896,49.16,55200,0.016884058,50019.4132,0.280166916,0.038357812,0.002496447,0.587484967,0.001184445,0.061645833,0.028663581
11355,1056,2130,49.58,80853,0.01306074,38623.9557,0.165375971,0.033049574,0.002725018,0.708819043,0.00030278,0.059484576,0.030243039
11356,479,1046,45.79,23362,0.020503382,67807.8323,0.509343801,0.02594078,0.003711921,0.272591518,0.00029866,0.149970134,0.038143186
11357,703,1613,43.58,39902,0.017618165,74096.6311,0.761532567,0.009604087,0.000842912,0.182835249,7.66284E-05,0.026871009,0.018237548
11358,495,1206,41.04,37190,0.01331003,66312.1712,0.50173121,0.011026474,0.001251798,0.400921536,0.000106536,0.059580248,0.025382198
11360,284,775,36.65,19621,0.014474288,72853.7515,0.710019064,0.015303961,0.000635459,0.236072866,5.29549E-05,0.02245287,0.015462826
11361,388,950,40.84,27246,0.014240622,70983.2093,0.544291407,0.039047752,0.000804027,0.353771936,0.000244704,0.039572118,0.022268056
11362,273,690,39.57,18721,0.014582554,74826.6041,0.568703361,0.015766145,0.000953824,0.37440386,0.000112215,0.019974191,0.020086405
11363,89,245,36.33,6952,0.012802071,92955.3212,0.632369777,0.010875787,0.001431025,0.312678878,0,0.023325701,0.019318832
11364,419,1082,38.72,36806,0.011384013,65776.5025,0.461959195,0.022746346,0.000723484,0.47049631,0.000202576,0.023643467,0.020228621
11365,724,1667,43.43,44983,0.016094969,61097.32,0.407388999,0.088374515,0.00286377,0.416666667,0.000402348,0.049536117,0.034767585
11366,352,757,46.5,14650,0.024027304,76377.4039,0.46016849,0.063479161,0.002882057,0.404374815,0.000886787,0.039388117,0.028820573
11367,887,2065,42.95,41824,0.021207919,53564.6755,0.594367432,0.100031671,0.002582406,0.208785051,0.000389797,0.053231661,0.040611981
11368,3702,6022,61.47,112425,0.032928619,43962.6552,0.320028018,0.116372998,0.01523683,0.100117346,0.000391154,0.386924525,0.060929128
11369,1341,2377,56.42,34118,0.039304766,54732.4966,0.343830118,0.198187233,0.011498122,0.088333549,0.00069921,0.300297812,0.057153956
11370,1210,2342,51.67,32514,0.037214738,37573.9334,0.41700262,0.177484378,0.006702278,0.169295505,0.000932272,0.195147148,0.033435799
11372,2123,3727,56.96,61844,0.03432831,48149.0729,0.458400864,0.031424455,0.008463893,0.205054325,0.000420193,0.244402425,0.051833844
11373,2770,5081,54.52,93967,0.029478434,44301.174,0.267179131,0.020809363,0.007567943,0.470948225,0.000545527,0.187750446,0.045199365
11374,931,2163,43.04,42653,0.021827304,49707.9331,0.615550459,0.029954128,0.002591743,0.267247706,0.000458716,0.050986239,0.033211009
11375,1362,3160,43.1,73488,0.018533638,69446.0737,0.653616167,0.0291563,0.001629494,0.252833428,0.000378275,0.032095209,0.030291127
11377,1824,3771,48.37,86421,0.021105981,49978.8076,0.378893465,0.034064344,0.008894579,0.366236224,0.000400757,0.16257375,0.048936881
11378,644,1465,43.96,37279,0.017275142,59362.7033,0.735027586,0.015751408,0.003973586,0.103884966,0.000485978,0.114862354,0.026014122
11379,697,1623,42.95,37851,0.018414309,61824.3232,0.830791764,0.010424744,0.00169438,0.08153126,0.000287183,0.057120703,0.018149967
11385,1811,3861,46.9,106717,0.016970117,47469.8714,0.655073434,0.033572704,0.007323109,0.064883561,0.000608569,0.199610516,0.038928108
11411,602,1183,50.89,20759,0.02899947,69131.5808,0.020909679,0.933390817,0.003071783,0.006790257,0.000269455,0.013203277,0.022364734
11412,1119,2190,51.1,37458,0.029873458,67395.5987,0.013961355,0.920245399,0.003612178,0.01046385,0.000286681,0.024167192,0.027263345
11413,1151,2323,49.55,42443,0.027118724,77058.1467,0.022589433,0.918097245,0.003829153,0.008814762,0.000231291,0.021458676,0.024979441
11414,722,1472,49.05,29219,0.024709949,70964.8067,0.870200398,0.020192749,0.002026924,0.0360257,0.000267707,0.051017286,0.020269237
11415,449,994,45.17,19372,0.023177782,55983.3512,0.622563466,0.073160643,0.003360736,0.16757148,0.000672147,0.085569516,0.047102011
11416,595,1140,52.19,27125,0.021935484,46712.5556,0.31772656,0.112947991,0.014520735,0.229998793,0.001086038,0.243795503,0.07992438
11417,766,1561,49.07,31927,0.023992232,56102.9338,0.410398039,0.089377568,0.013532641,0.203472917,0.001277316,0.204370491,0.077571029
11418,909,1925,47.22,38517,0.023599969,57063.3834,0.369538835,0.109085393,0.012273831,0.20815865,0.002041041,0.218970653,0.079931598
11419,995,2001,49.73,49618,0.020053206,49705.3095,0.123382263,0.181843215,0.019232806,0.331659994,0.002096969,0.201160746,0.140624007
11420,1179,2409,48.94,48489,0.024314793,55055.5659,0.15561167,0.32583307,0.016886865,0.201131803,0.002074221,0.191031249,0.107431122
11421,1013,2038,49.71,41002,0.024706112,55093.7928,0.432105707,0.077874613,0.012881131,0.157257137,0.000664503,0.253558924,0.065657986
11422,850,1790,47.49,32082,0.026494608,68822.9027,0.072571898,0.83727198,0.00430567,0.021133936,0.000197206,0.036154478,0.028364832
11423,879,1716,51.22,31400,0.027993631,64756.1233,0.152966285,0.423583553,0.011671724,0.196818621,0.00150065,0.134758395,0.07870077
11426,453,967,46.85,20801,0.021777799,74452.1944,0.462819784,0.056395679,0.003922683,0.357930642,0.000227402,0.068106879,0.05059693
11427,687,1373,50.04,24037,0.028580938,57224.3848,0.281015555,0.239901666,0.006188276,0.321790362,0.002161658,0.096257364,0.052685118
11428,595,1113,53.46,18929,0.031433251,71126.5564,0.228140651,0.244313439,0.009025459,0.267111853,0.002138982,0.160997496,0.08827212
11429,831,1518,54.74,27403,0.030325147,72714.1372,0.060904202,0.808165704,0.005735909,0.03345947,0.001354312,0.053774149,0.036606254
11432,1496,2902,51.55,62053,0.024108423,50291.2065,0.238385765,0.197717443,0.01009719,0.355227022,0.001019586,0.137084971,0.060468023
11433,812,1667,48.71,36489,0.022253282,41780.0631,0.052589715,0.75265396,0.012267874,0.050081072,0.000795423,0.090586472,0.041025484
11434,1715,3457,49.61,65791,0.026067395,51640.5104,0.028902907,0.883559675,0.004617024,0.015322431,0.000439717,0.037511204,0.029647043
11435,1381,2894,47.72,59296,0.023289935,44721.7965,0.263955892,0.276752286,0.011678805,0.196788794,0.002235178,0.182614041,0.065975003
11436,455,957,47.54,20077,0.022662748,62297.1561,0.038609393,0.757145245,0.011532676,0.064571842,0.001002841,0.076383085,0.050754917
11691,1923,3598,53.45,67094,0.028661281,35645.3949,0.309902557,0.501424169,0.007912051,0.019938369,0.001032731,0.12026318,0.039526943
11692,496,1011,49.06,20991,0.023629174,42385.4913,0.164455232,0.66364617,0.00631068,0.027993528,0.000485437,0.098651564,0.038457389
11693,293,624,46.96,12919,0.022679774,54873.713,0.553961061,0.30824102,0.005203088,0.03121853,8.39208E-05,0.068647197,0.032645183
11694,614,1318,46.59,21354,0.028753395,75157.2154,0.824627597,0.091728734,0.001911015,0.025137201,0.000490004,0.038416307,0.017689142
11697,85,203,41.87,3540,0.024011299,82290.534,0.98161314,0.001225791,0.001225791,0.005883795,0.000245158,0.003677372,0.006128953
