,ZCTA,percent_pos,median_inc,perc_minority,perc_majority,majority,perc_blue,perc_white,white_collar,log_percent_pos,best_fit_lin,best_fit_log,perc_wfh,perc_non_ess,perc_ess
122,11236,0.022983923,59567.5509,0.9252745609999999,0.07472543900000006,0,0.6679999999999999,0.3320000000000001,0,-3.772960307467391,0.019162573350644307,-4.047932321113869,0.20900000000000002,0.194,0.5940000000000001
123,11237,0.015899411999999998,35354.7791,0.638447971,0.36155202900000005,0,0.7909999999999999,0.20900000000000007,0,-4.141473151571846,0.022281630547465008,-3.825409395163539,0.13,0.127,0.7420000000000001
124,11238,0.011862853000000001,61468.5107,0.6208030550000001,0.3791969449999999,0,0.45100000000000007,0.5489999999999999,1,-4.43434335784922,0.018917694226765695,-4.065402734675111,0.382,0.133,0.485
125,11239,0.032845062,24882.1176,0.6867020090000001,0.3132979909999999,0,0.725,0.275,0,-3.415953864985349,0.02363070493230855,-3.7291623690602584,0.24500000000000002,0.523,0.23300000000000004
126,11354,0.016884058,50019.4132,0.7198330850000001,0.2801669149999999,0,0.6930000000000001,0.30699999999999994,0,-4.081385415862857,0.02039255180397529,-3.9601819571352745,0.219,0.249,0.531
127,11355,0.01306074,38623.9557,0.83462403,0.16537597000000004,0,0.798,0.20199999999999996,0,-4.338144495177036,0.021860499547423626,-3.855454147928291,0.16,0.117,0.7230000000000001
128,11356,0.020503382,67807.8323,0.490656199,0.509343801,1,0.7820000000000001,0.21799999999999986,0,-3.887165430834998,0.0181010712138052,-4.123663077713248,0.16999999999999998,0.29100000000000004,0.54
129,11357,0.017618165,74096.6311,0.23846743339999998,0.7615325666,1,0.653,0.347,0,-4.038824806916661,0.017290956481030267,-4.181459100458935,0.26,0.262,0.48000000000000004
130,11358,0.01331003,66312.1712,0.49826879,0.50173121,1,0.605,0.395,0,-4.319237392633254,0.018293740295911683,-4.109917485636834,0.268,0.29700000000000004,0.434
131,11360,0.014474288,72853.7515,0.28998093690000004,0.7100190631,1,0.7020000000000001,0.29799999999999993,0,-4.235381444988473,0.01745106258508076,-4.170036649222022,0.196,0.3,0.505
132,11361,0.014240622,70983.2093,0.455708593,0.544291407,1,0.7669999999999999,0.2330000000000001,0,-4.25165669417696,0.017692023354011266,-4.152845782893469,0.15600000000000003,0.10999999999999999,0.733
133,11362,0.014582554,74826.6041,0.43129664,0.56870336,1,0.628,0.372,0,-4.227929396274591,0.01719692232591818,-4.188167780042027,0.22699999999999998,0.308,0.466
134,11363,0.012802071000000002,92955.3212,0.367630223,0.6323697770000001,1,0.5579999999999999,0.44200000000000006,0,-4.358148324269268,0.014861604998065553,-4.354776345395036,0.239,0.27799999999999997,0.483
135,11364,0.011384013,65776.5025,0.538040804,0.461959196,0,0.5369999999999999,0.4630000000000001,0,-4.475545276241618,0.018362744428426846,-4.104994523183439,0.377,0.20299999999999999,0.41900000000000004
